Substrate,SMILES
benzoyl-coa,OC(C1=CC=CC=C1)=O
phenylacetyl-coa,OC(CC1=CC=CC=C1)=O
N-CH3-anthraniloyl-coa,OC(C1=CC=CC=C1NC)=O
coumaroyl-coa,OC(/C=C/C1=CC=C(O)C=C1)=O
methylcrotonyl-coa,C/C=C(C(O)=O)\C
acetyl-coa,CC(O)=O
hexanoyl-coa,CCCCCC(O)=O
decanoyl-coa,CCCCCCCCCC(O)=O
myristoyl-coa,CCCCCCCCCCCCCC(O)=O
oleoyl-coa,CCCCCCCC/C=C\CCCCCCCC(O)=O
phytanoyl-coa,CC(CCCC(CCCC(CCCC(CC(O)=O)C)C)C)C
succinyl-coa,O=C(O)CCC(O)=O
4-pentynoyl-coa,C#CCCC(=O)O
cyclohexanoyl-coa,OC(C1CCCCC1)=O
4-cyclohexyl-4-oxobutyryl-coa,C1CCC(CC1)C(=O)CCC(=O)O
4-cyclopentyl-4-oxobutyryl-coa,C1CCC(C1)C(=O)CCC(=O)O
thiazole-4-carboxylyl-coa,C1=C(N=CS1)C(=O)O
2-furoyl-coa,O=C(O)C1=CC=CO1
trans-2-Phenylcyclopropane-1-carboxylyl-coa,C1C(C1C(=O)O)C2=CC=CC=C2
cinnamoyl-coa,O=C(O)/C=C/C1=CC=CC=C1
2-chlorophenylacetyl-coa,O=C(O)CC1=CC=CC=C1Cl
3-fluorobenzoyl-coa,C1=CC(=CC(=C1)F)C(=O)O
4-fluorophenylacetyl-coa,C1=CC(=CC=C1CC(=O)O)F
2-amino-5-chlorobenzoyl-coa,C1=CC(=C(C=C1Cl)C(=O)O)N
acetoacetyl-coa,O=C(CC(O)=O)C
arachidoyl-coa,CCCCCCCCCCCCCCCCCCCC(O)=O
butyryl-coa,CCCC(O)=O
crotonoyl-coa,C/C=C/C(O)=O
heptanoyl-SNAC,CCCCCCC(O)=O
isobutyryl-coa,CC(C(O)=O)C
isovaleryl-coa,O=C(O)CC(C)C
lauroyl-coa,CCCCCCCCCCCC(O)=O
nonanoyl-SNAC,CCCCCCCCC(O)=O
octanoyl-coa,CCCCCCCC(O)=O
palmitoyl-coa,CCCCCCCCCCCCCCCC(O)=O
pentanoyl-SNAC,CCCCC(O)=O
propionyl-coa,CCC(O)=O
stearoyl-coa,CCCCCCCCCCCCCCCCCC(O)=O